ID,fq6,fq14_ch_age,fq14_3,f_sep,ss_all,asbi_express,asbi_comply,asbi_disrupt,ch_ST_recs,ch_PA_recs,fq16_st_wk_trunc_hrs,fq16_tv_hrs,fq16_comp_hrs,fq18_avg_out_hrs
30929,Female,3.624914,No,3,73,36,20,9,0,0,2,1.5,0.5,1.5
30266,Female,3.156742,No,3,75,36,27,14,0,0,1.5,1,0.5,1.857143
30591,Female,4.312115,No,3,72,36,22,12,1,1,0.6428572,0.6428572,0,4.571428
30786,Male,3.619439,No,3,77,35,27,11,0,0,1.142857,0.5,0.6428572,2
300051,Female,4.761123,No,3,58,25,22,15,0,0,2.214286,1.714286,0.5,2.285714
30614,Male,3.865845,No,3,76,36,26,12,0,0,1.5,0.9285715,0.5714285,2
30911,Female,4.985626,Yes,3,78,38,26,12,0,1,2.928571,2.928571,0,3.714286
30233,Female,4.720055,No,3,85,39,29,9,0,0,2.142857,1.5,0.6428572,2
30099,Male,2.398357,No,3,76,31,27,8,1,0,0.1428571,0,0.1428571,2.285714
30536,Male,4.829569,No,3,80,37,27,10,0,1,2.571429,1.642857,0.9285715,6.285714
30945,Female,3.392197,No,2,84,39,28,9,0,1,2,1.857143,0.1428571,4.571428
30469,Female,4.405202,No,3,80,34,30,10,1,1,0.7857143,0.7857143,0,3.928571
30667,Female,3.794661,No,2,74,35,26,13,1,0,0,0,0,0.9285715
30952,Female,4.826831,Yes,3,76,38,25,13,0,1,3.928571,3.357143,0.5714285,5.5
30009,Male,3.397673,Yes,3,79,39,24,10,0,0,1.357143,1,0.3571429,1.357143
30949,Male,4.082136,No,3,69,35,21,13,0,1,2.071429,1.428571,0.6428572,5
300020,Male,4.024641,No,3,83,39,27,11,0,0,1.142857,0.6428572,0.5,1.928571
30451,Male,4.561259,No,3,78,37,25,10,0,1,1.928571,1.785714,0.1428571,4.428572
30829,Female,3.660506,No,3,81,38,26,9,0,0,1.142857,0.6428572,0.5,2.285714
300049,Female,3.926078,No,3,84,39,29,10,0,1,2,2,0,3
30582,Male,4.396988,No,3,85,37,30,8,0,1,2.285714,1.285714,1,3.857143
30209,Male,2.819986,Yes,3,75,34,23,8,1,0,0.9285715,0.7857143,0.1428571,1.785714
300035,Male,3.989048,No,1,72,35,23,12,0,0,1.642857,0.6428572,1,2.5
30603,Male,4.780287,No,3,81,39,29,13,0,0,2,2,0,2.357143
300019,Male,4.558522,No,3,79,36,27,10,0,1,1.285714,1.142857,0.1428571,3.428571
30847,Female,4.826831,Yes,2,77,34,26,9,0,1,2.714286,2.571429,0.1428571,4
30857,Male,3.022587,No,3,85,38,30,9,1,0,1,1,0,1.642857
30311,Female,3.362081,No,3,80,37,26,9,0,1,2.285714,2,0.2857143,3
